material,HHI,SR,AR,Warning
SrUSe3,0.6434247975027304,0.3661644083419562,0.9997324295010847,"Warning: Not all elements found in HHI data for the compound SrUSe3, the elements found are: ['Se' 'Sr']"
CaZrS3,1.5072017029746312,0.8318836485950215,0.9696203904555314,
CaCeS3,1.8050610754499763,1.0228364635043223,0.9696916124367317,
EuHfS3,0.7779607814905077,0.41837939457519097,0.9997433116413593,
TbEuS3,1.075820153965853,0.609332209484492,0.9997446131597975,
SrPrS3,0.9252817089965384,0.5298373912882681,0.9994727404193782,
CeUSe3,0.7939632424720449,0.4456592265381801,0.9999518799710773,"Warning: Not all elements found in HHI data for the compound CeUSe3, the elements found are: [list(['La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Y'])
 'Se']"
CaHfS3,1.5072017029746312,0.8318836485950215,0.9697375271149675,
EuGdS3,1.075820153965853,0.609332209484492,0.9997409978308026,
YbEuSe3,1.2814131260699257,0.7226424739058064,0.9999962039045553,
SrUS3,0.4378318253986574,0.25285414392064176,0.9994793926247288,"Warning: Not all elements found in HHI data for the compound SrUS3, the elements found are: ['Sr' 'S']"
UInS3,0.5950999134771179,0.33174753784335753,0.9997467462039046,"Warning: Not all elements found in HHI data for the compound UInS3, the elements found are: ['In' 'S']"
EuUS3,0.5883702703679718,0.33234896211686565,0.9997454808387563,"Warning: Not all elements found in HHI data for the compound EuUS3, the elements found are: [list(['La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Y'])
 'S']"
PrInS3,1.0825497970749989,0.6087307852109838,0.9997400939985539,
