reduced_formulas,descriptive_formulas,bandgap
Mo1S2,MoS2,1.69
Zn1S1,ZnS,3.6
Ni1Se2,NiSe2,2.0
Ni3Se2,Ni3Se2,2.0
Cd1S1,CdS,2.5
Cd1S1,CdS,2.5
Mo1S2,MoS2,1.23
Cd1S1,CdS,2.5
Cd1S1,CdS,2.3
Cd1S1,CdS,2.4
Cd1S1,CdS,2.24
Cd1S1,CdS,2.42
Pb1S1,PbS,0.41
Pb1S1,PbS,0.41
S1,S,2.3
Cd1S1,CdS,2.4
Fe1S2,FeS2,0.95
Bi4S6,Bi4S6,1.5
Fe1Se2,FeSe2,1.0
Zn1Se1,ZnSe,2.7
Zn1Se1,ZnSe,2.7
Cu2S1,Cu2S,1.2
Zn1S1,ZnS,3.7
Cd1S1,CdS,2.4
Cd1S1,CdS,2.5
C16H18Cl1N3S1,C16H18ClN3S,2.62
Cu1In1S2,CuInS2,1.95
In2S3,In2S3,1.96
In2S3,In2S3,2.15
In2S3,In2S3,1.96
In2S3,In2S3,1.96
Sn1S2,SnS2,2.2
Sn1S2,SnS2,2.475
Zn1Se1,ZnSe,2.7
Cd1Se1,CdSe,2.0
Cd1S1,CdS,2.42
Cd1S1,CdS,2.42
Cd1S1,CdS,2.4
Cd1S1,CdS,2.42
Cd1S1,CdS,2.25
Cd1S1,CdS,2.4
Zn1S1,ZnS,3.6
Cd1S1,CdS,2.33
Cd1S1N1,CdSN,2.09
Pt1Cd1S1,PtCdS,2.37
Cd1S1,CdS,2.4
Cd1S1,CdS,2.37
Cd1S1,CdS,2.4
Cu3S4,Cu3S4,2.0
Bi2S3,Bi2S3,1.3
Bi2S3,Bi2S3,1.3
Bi2S3,Bi2S3,1.3
Se1,Se,1.85
Zn1S1,ZnS,3.65
Cd0.5Zn0.5S1,Cd0.5Zn0.5S,2.39
Cd0.5Zn0.5S1,Cd0.5Zn0.5S,2.39
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Zn1S1,ZnS,3.7
Sn1S2,SnS2,2.2
Sn1S2,SnS2,2.39
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cd1S1,CdS,2.26
Bi2S3,Bi2S3,1.45
Bi2S3,Bi2S3,1.45
Bi2S3,Bi2S3,1.76
Cd1S1,CdS,2.38
Cd1S1,CdS,2.4
Mo1S2,MoS2,1.8
Cd1S1,CdS,2.79
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cu1Ga1S2,CuGaS2,2.49
Bi4S6,Bi4S6,1.3
Bi2S3,Bi2S3,1.3
Mo1S2,MoS2,1.8
Ag2In5S8,Ag2In5S8,1.53
S4Sn1,S4Sn,2.31
Cd1S1,CdS,2.4
Mn0.5Cd0.5S1,Mn0.5Cd0.5S,2.54
Cu1In1S2,CuInS2,1.53
Cd1S1,CdS,2.43
Cd1S1,CdS,2.3
Cu1S1,CuS,1.75
Zn1S1,ZnS,2.43
Mo1S2,MoS2,1.25
Cd1S1,CdS,1.38
Cd1In2S4,CdIn2S4,1.06
Cd1In2S4,CdIn2S4,2.27
Zn1S3Mo1,ZnS3Mo,3.515
Zn1S1,ZnS,3.6
Zn1S1,ZnS,3.6
Zn1S3Mo1,ZnS3Mo,3.56
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cd1S1,CdS,2.21
Zn1Se1,ZnSe,2.7
Zn1In2S4,ZnIn2S4,2.455
Zn1In2S4,ZnIn2S4,2.455
Zn1In2S4,ZnIn2S4,1.36
Zn1In2S4,ZnIn2S4,2.5
Zn1In2S4,ZnIn2S4,2.815
Zn1In2S4,ZnIn2S4,2.455
Pd1Zn1In2S4,PdZnIn2S4,2.2
In4S6,In4S6,2.15
In2S3,In2S3,2.14
Cu1In1S2,CuInS2,1.53
Mo1S2,MoS2,1.2000000000000002
Cu1S1,CuS,2.15
In2Se3,In2Se3,1.55
Zn1In2S4,ZnIn2S4,2.05
Co9S8,Co9S8,2.5149999999999997
Co9S8,Co9S8,3.0
Cd1S1,CdS,2.4
Cu1In1S2,CuInS2,1.53
Zn1S1,ZnS,3.43
Cu1S2Zn1,CuS2Zn,2.6
Cd1S1,CdS,2.4
Cd1S1,CdS,2.26
Cd1S1,CdS,2.26
Mg1In2S4,MgIn2S4,2.0
Mo1S2,MoS2,1.59
Mo1Se2,MoSe2,1.32
Mo1S2,MoS2,2.2
Mn1I1S1,MnIS,1.89
Cd1S1,CdS,2.23
Cd1S1,CdS,2.3
B2S1,B2S,1.85
B2S1,B2S,1.82
Pb1S1,PbS,0.94
Cu1S1,CuS,2.96
Cu7S4,Cu7S4,1.67
Cu9S8,Cu9S8,1.85
Cu7S4,Cu7S4,1.67
Cu9S8,Cu9S8,1.85
Cd1S1,CdS,2.4
Cd1Se1,CdSe,1.7
S1,S,2.34
Cd1S1,CdS,2.4
Mo1S2,MoS2,1.12
Cd1S1,CdS,2.4
Cd1S1,CdS,2.25
Bi2S3,Bi2S3,1.3
Sn1S2,SnS2,2.1
Sn1S2,SnS2,2.11
Sn1S2,SnS2,2.04
Co0.85Se1,Co0.85Se,0.68
Fe1S2,FeS2,0.95
Cd1S1,CdS,2.38
Mo1S2,MoS2,1.8
Mo1S2,MoS2,1.3
Mo1S2,MoS2,1.425
Zn1S1,ZnS,3.65
Mo1S2,MoS2,2.1
Cd1S1,CdS,2.4
C3N4Cd1S1,C3N4CdS,0.034
Bi2S3,Bi2S3,1.3
Bi2S3,Bi2S3,1.29
Zn1S1,ZnS,3.65
Cd1S1,CdS,2.4
Zn0.5Cd0.5S1,Zn0.5Cd0.5S,2.43
Mo1S2,MoS2,1.66
Mo1S2,MoS2,1.3
Zn1In2S4,ZnIn2S4,2.47
Zn1In2S4,ZnIn2S4,2.47
Cd1S1,CdS,2.4
Bi2Se3,Bi2Se3,1.3
Cu3Bi1S3,Cu3BiS3,1.3
Cd1S1,CdS,2.4
Zn0.5Cd0.5S1,Zn0.5Cd0.5S,2.47
Fe1S2,FeS2,0.95
Cd1La2S4,CdLa2S4,2.3
Cd1La2S4,CdLa2S4,2.32
In4S6,In4S6,2.15
In2S3,In2S3,2.26
Ni23Co1S32,Ni23CoS32,1.19
Ni22Co2S32,Ni22Co2S32,1.06
Ni23Co1S31,Ni23CoS31,0.47
Ni22Co1S31,Ni22CoS31,0.39
Mo1S2,MoS2,1.8
Mn2Se7,Mn2Se7,2.0
Mn1Se1,MnSe,4.2
Mo1S2,MoS2,1.23
Bi2Se3,Bi2Se3,1.42
Zn1In2S4,ZnIn2S4,2.5
S1,S,2.5
Cd1S1,CdS,2.4
Pb1S1,PbS,0.41
Bi2S3,Bi2S3,1.3
Cd1S1,CdS,2.4
Cd1S1,CdS,2.41
Cd1S1,CdS,2.41
Cd1S1,CdS,2.4
Bi2S3,Bi2S3,1.5
S1,S,2.7
Zn1In2S4,ZnIn2S4,2.52
Zn1In2S4,ZnIn2S4,2.64
Ni3S2,Ni3S2,2.615
Fe1S2,FeS2,1.44
Bi2S3,Bi2S3,1.45
Bi2S3,Bi2S3,1.32
Cd1S1Co1Al1,CdSCoAl,2.15
Cd1S1,CdS,2.4
Mo1Se2,MoSe2,1.01
S6W1,S6W,1.5
Cd1S1,CdS,2.25
Bi2S3,Bi2S3,1.5
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cu1S1,CuS,2.2
Cd1S1,CdS,2.3
Cd1S1,CdS,2.23
Cd1S1,CdS,2.4
Co3S4,Co3S4,1.32
Co3S4,Co3S4,1.32
Sb2Se3,Sb2Se3,1.2
Cd1Se1,CdSe,1.74
Cd1Se1,CdSe,1.7
Mo1S2,MoS2,1.9
Cd1S1,CdS,2.4
Cd1S1,CdS,2.42
Cd1S1,CdS,2.4
Mo1S2,MoS2,1.81
Mo1Se2,MoSe2,1.1
Cd1S1,CdS,2.21
Fe1S2,FeS2,0.95
Fe1S2,FeS2,0.96
Co1S1,CoS,2.5
Co1S1,CoS,1.95
Zn0.5Cd0.5S1,Zn0.5Cd0.5S,2.45
Co9S8,Co9S8,1.04
Zn1In2S4,ZnIn2S4,2.15
Mo1S2,MoS2,1.8
Cd1S1,CdS,2.4
Mo1S2,MoS2,1.46
Mo1S2,MoS2,1.54
Cd1S1,CdS,2.4
Cu2W1S4,Cu2WS4,2.4
Cu2W1S4,Cu2WS4,1.7
C1S1H1Ni1,CSHNi,3.55
Cd1S1,CdS,2.3
Co1S1,CoS,0.35
Co1S1,CoS,1.8
Zn1In2S4,ZnIn2S4,1.72
Ni1Se2,NiSe2,0.552
Cd1S1,CdS,2.4
Cu2Zn1Sn1Se4,Cu2ZnSnSe4,1.5
Cd1S1,CdS,2.4
Cd1S1,CdS,2.42
Cd1S1,CdS,2.42
S1,S,2.42
Cd1S1,CdS,2.42
Cd1S1,CdS,2.42
Zn1S1,ZnS,3.67
Cu1S1,CuS,2.5
Cu1S1,CuS,2.5
Cu1S1,CuS,2.5
Cu1S1,CuS,2.5
Cu1S1,CuS,2.5
Cd1S1,CdS,2.4
Cd1S1,CdS,2.39
Cu1S1,CuS,2.01
Cd1S1,CdS,2.4
Cd1S1,CdS,2.5
Zn1S1,ZnS,3.6
Cu1S1,CuS,2.2
Cu0.33Zn0.67S1,Cu0.33Zn0.67S,1.61
Ag2S1,Ag2S,1.1
Ag2S1,Ag2S,2.03
Ag2S1,Ag2S,1.1
Cd1S1,CdS,2.4
Ag8Sn1S6,Ag8SnS6,1.31
Ag8Sn1S6,Ag8SnS6,3.4
Zn1S1,ZnS,3.7
Zn1S1,ZnS,3.7
Cd1S1,CdS,2.4
Cd1S1,CdS,2.3
Cd1S1,CdS,2.4
Cu1S1,CuS,2.1
Mo1S2,MoS2,1.5499999999999998
Na1Fe1S2,NaFeS2,2.01
Fe1S2,FeS2,0.95
Ag2S1,Ag2S,2.48
Ag2S1,Ag2S,2.48
N1S1,NS,3.11
Zn1S1,ZnS,2.32
Cd1S1,CdS,2.3
Bi2S3,Bi2S3,1.8
Bi2S3,Bi2S3,1.8
Pb1Se1,PbSe,0.27
Zn1Cd1S1,ZnCdS,2.58
Zn1S1,ZnS,3.7
Zn1S1,ZnS,3.54
Zn1Cd1S1,ZnCdS,2.48
Cd1S1,CdS,2.42
Zn1Cd1S1,ZnCdS,2.42
Zn1S1,ZnS,2.42
Zn1S1,ZnS,3.6
Zn1Cd1S1,ZnCdS,2.48
Zn1Cd1S1,ZnCdS,2.48
Cd1Se1,CdSe,1.78
Zn1Cd1Se1,ZnCdSe,2.135
Zn1Cd1Se1,ZnCdSe,2.125
Zn1Cd1Se1,ZnCdSe,2.125
Cd1Se1,CdSe,1.7
Cd2Se1Te1,Cd2SeTe,1.51
Zn1Se1,ZnSe,2.7
Zn1Se1,ZnSe,2.6
Zn1Se1,ZnSe,2.6
Zn1Se1,ZnSe,2.6
Zn1Se1,ZnSe,2.65
Zn1Se1,ZnSe,2.65
Zn1S1,ZnS,3.7
Sn1Se2,SnSe2,1.705
Sn1Se2,SnSe2,1.81
Sn1Se2,SnSe2,1.705
Zn1S1,ZnS,3.7
S1Se1,SSe,1.25
Cu1In1Se2,CuInSe2,1.03
S1,S,1.1
Cu2Zn1Sn1S4,Cu2ZnSnS4,1.5
In2S3,In2S3,2.18
In2S3,In2S3,2.18
Sn1Se2,SnSe2,2.0
Cu2Sn1S3,Cu2SnS3,0.85
Cd1S1,CdS,2.42
Cd1S1,CdS,2.42
Cd1S1,CdS,2.42
Se1,Se,1.405
Cu5Fe1S4,Cu5FeS4,1.87
Cu5Fe1S4,Cu5FeS4,1.25
Cu5Fe1S4,Cu5FeS4,1.87
Cu5Fe1S4,Cu5FeS4,1.87
Pb1S1,PbS,1.6
Cu3Bi1S3,Cu3BiS3,1.4100000000000001
Cu3Bi1S3,Cu3BiS3,1.4100000000000001
Zn1Se1,ZnSe,1.85
Zn1Se1,ZnSe,2.7
Zn1S1,ZnS,3.58
Ca1Se1,CaSe,2.86
Ca1Se1,CaSe,2.86
Zn1S1,ZnS,3.4
Zn1S1,ZnS,3.4
Zn1S1,ZnS,3.4
Zn1S1,ZnS,3.4
Cd1S1,CdS,2.4
Cu2S1,Cu2S,1.75
Cu2S1,Cu2S,1.455
Cu2S1,Cu2S,1.75
Cu1Se1,CuSe,2.2
S1,S,1.3
S1,S,1.3
Bi2Se3,Bi2Se3,0.35
Sn1Se1,SnSe,1.3
Bi2Se1Te2,Bi2SeTe2,1.6
Cu1In1S2,CuInS2,1.46
Cu1In1Se2,CuInSe2,1.52
S1,S,1.46
Cd1S1,CdS,2.3
Cd1Se1,CdSe,1.7
Te1Se1In2,TeSeIn2,1.1
In2Se3,In2Se3,1.29
Te1Se1In2,TeSeIn2,1.54
Cd1Se1,CdSe,1.73
Cd1Se1,CdSe,1.76
Cd1Se1,CdSe,1.76
Zn1S1,ZnS,3.69
Zn1S1,ZnS,3.69
Zn1S1,ZnS,3.67
Zn1S1,ZnS,3.6799999999999997
Zn1S1,ZnS,3.7
Cu1In1S2,CuInS2,1.53
Cd1S1,CdS,2.42
Zn1S1,ZnS,3.68
Cd1S1,CdS,2.8
Pb1S1,PbS,0.4
Cd1S1,CdS,2.5
Se1,Se,1.365
Se1,Se,1.365
Se1,Se,1.365
Se1,Se,1.365
Se1,Se,1.365
Zn1Se1,ZnSe,3.42
Zn1Se1,ZnSe,2.7
Zn1Se1,ZnSe,3.42
Zn1Se1,ZnSe,3.42
Zn1Se1,ZnSe,3.42
Zn1Se1,ZnSe,3.42
Zn1Se1,ZnSe,3.42
Ge10Te80Se1,Ge10Te80Se,0.952
Cu1S1C1N1,CuSCN,2.3
Cu1S1C1N1,CuSCN,2.3
Cu2Se3,Cu2Se3,2.5
Cu2Se3,Cu2Se3,2.5
Cu1Se1,CuSe,2.3
Cd1Zn1S1,CdZnS,3.59
Cd1S1,CdS,2.24
Zn1S1,ZnS,3.6
Cd1Zn1S1,CdZnS,3.0
Cd1Zn1S1,CdZnS,3.59
Cd1S1,CdS,2.42
Zn1S1,ZnS,3.67
Zn1S1,ZnS,0.245
Bi2Se3,Bi2Se3,1.5
Cd1S1,CdS,2.45
Cd1S1,CdS,2.44
Cd1S1,CdS,2.42
Cd1S1,CdS,2.4
Bi2S3,Bi2S3,1.8
Bi2S3,Bi2S3,1.4
Ni1S2,NiS2,2.3
Se1,Se,1.94
Se1,Se,1.94
Mo1Se2,MoSe2,1.59
Mo1Se2,MoSe2,1.59
Cu1Se1,CuSe,2.2
Cu1Se1,CuSe,2.0
Zn1S1,ZnS,3.6
Zn1S1,ZnS,3.7
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cd1Se1,CdSe,1.74
Mo1S2,MoS2,1.55
Mo1S2,MoS2,1.62
Ga1S1,GaS,2.35
Ga1S1,GaS,2.5
Ga1S1,GaS,2.35
Bi2S3,Bi2S3,1.5
Zn1S1,ZnS,3.68
Zn1S1,ZnS,3.68
Cd1S1,CdS,2.4699999999999998
Zn1S1,ZnS,3.7
Zn1S1,ZnS,3.6
Zn1S1,ZnS,3.43
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cd1S1,CdS,2.42
Cd1Se1,CdSe,1.74
Cd1Se1,CdSe,1.74
Mo1S2,MoS2,2.31
As2S3,As2S3,2.37
Cd1S1,CdS,2.5
Cd1S1,CdS,2.5
Zn1S1,ZnS,3.8
Zn1Se1,ZnSe,2.76
In2S3,In2S3,2.0
In2S3,In2S3,3.5
Zn1S1,ZnS,3.5
Cd1S1,CdS,2.44
Cd1S1,CdS,2.56
Cd1S1,CdS,2.42
Cd1S1,CdS,2.36
Ge1Se1Ga1,GeSeGa,2.24
Cd1S1,CdS,2.42
Pb1S2,PbS2,0.38
Zn1S1,ZnS,3.6
Zn1S1,ZnS,3.6
Zn1S1,ZnS,3.66
Zn1S1,ZnS,3.6
Cd1Se1,CdSe,1.76
Zn1S1,ZnS,3.7
Mn2S7,Mn2S7,3.1
Mn1S1,MnS,3.1
Zn1S1,ZnS,3.68
Tl2In1Ga1S4,Tl2InGaS4,2.35
Tl1In1S2,TlInS2,2.45
In1Se1,InSe,1.5
Zn1Se1,ZnSe,2.82
Zn1S1,ZnS,3.7
Cu2Se3,Cu2Se3,1.1
Ge10Se1Te1,Ge10SeTe,1.2
Pb1S1,PbS,0.41
Zn1S1,ZnS,3.7
Zn1S1,ZnS,3.91
Zn1S1,ZnS,3.8
Zn1S1,ZnS,3.9050000000000002
Cd1S1,CdS,2.42
Zn1S1,ZnS,3.7
Zn1S1,ZnS,3.7
Zn1S1,ZnS,4.2
Ca1S1,CaS,4.6
Ga2S4Na2,Ga2S4Na2,3.32
Zn1S1,ZnS,3.72
Cd1S1,CdS,2.53
Cu1In1Se2,CuInSe2,1.05
Cu1In1Se2,CuInSe2,1.05
Sb2Se3,Sb2Se3,1.78
As2S3,As2S3,2.4
Zn0.75Be0.2Mn0.05Se1,Zn0.75Be0.2Mn0.05Se,3.2
Zn0.75Be0.2Mn0.05Se1,Zn0.75Be0.2Mn0.05Se,3.25
Cd1In2S4,CdIn2S4,2.62
Ga5Sb10Ge25Se60,Ga5Sb10Ge25Se60,2.46
Zn1S1,ZnS,3.2
Cu2Zn1Ge1S4,Cu2ZnGeS4,2.14
Cu2Zn1Ge1S4,Cu2ZnGeS4,2.04
Cu2Zn1Ge1S4,Cu2ZnGeS4,2.205
Cu2Zn1Ge1S4,Cu2ZnGeS4,2.2
Ag1In1S2,AgInS2,1.86
Cu2Zn1Ge1S4,Cu2ZnGeS4,2.08
Cd1S1,CdS,2.58
Zn1S1,ZnS,2.5
Zn1S1,ZnS,3.7
Pb1Ga2S4,PbGa2S4,3.0
Pb1Se1,PbSe,0.27
Mn1In2S4,MnIn2S4,2.0
Cd1Se1,CdSe,1.93
S1,S,1.3900000000000001
S1Se1Cu2Zn1Sn1,SSeCu2ZnSn,0.94
Zn1S1,ZnS,3.75
Zn1S1,ZnS,3.83
Zn1S1,ZnS,3.61
In1Se1,InSe,1.2
Ni1Se1,NiSe,3.6
Ni2Se3,Ni2Se3,2.0
Cu1In1Se2,CuInSe2,2.42
Cd1S1,CdS,2.42
Ag2S1,Ag2S,2.85
Ca1Ga2S4,CaGa2S4,4.2
Mn2S7,Mn2S7,3.1
Mn1S1,MnS,3.1
Mn2Se7,Mn2Se7,2.65
Mo1S2,MoS2,1.2
Mo1S2,MoS2,1.9
Zn1S1,ZnS,3.7
Cd1S1,CdS,2.4
Zn1S1,ZnS,3.68
Zn1S1,ZnS,3.68
Cd1S1,CdS,2.42
In1S1,InS,1.9
In1S1,InS,2.09
In1S1,InS,2.09
Zn1S1,ZnS,3.67
Zn1S1,ZnS,3.6
Zn1S1,ZnS,3.6
Zn1S1,ZnS,3.773
Ag2Hg1Sn1S4,Ag2HgSnS4,1.38
Ag2Se1,Ag2Se,1.8
Ag1Ga1Se2,AgGaSe2,1.8
Ag2Cd1Sn1S4,Ag2CdSnS4,1.94
Cu2Sn1Se3,Cu2SnSe3,1.12
Cu2Zn1Sn1Se4,Cu2ZnSnSe4,1.12
Cu2Sn1Se3,Cu2SnSe3,0.94
Cu2Sn1Se3,Cu2SnSe3,0.94
Cd1S1,CdS,2.4
Zn1Se1,ZnSe,2.78
Zn1Se1,ZnSe,2.8
Zn1Se1,ZnSe,0.5
Cd1Se1,CdSe,1.7
Ca1S1,CaS,4.43
Cu1Se1,CuSe,1.23
Li1Ga1S2,LiGaS2,3.93
Ge1S2,GeS2,2.7
Pb1S1,PbS,0.41
Pb1S1,PbS,0.94
Pb1S1,PbS,0.41
Ag1In5S8,AgIn5S8,1.51
Sb2S3,Sb2S3,1.95
Sb2S3,Sb2S3,2.0
Sb2S3,Sb2S3,1.95
Pb1S1,PbS,0.41
Cd1Se1,CdSe,1.74
Cd1Se1,CdSe,1.815
Sn2Si1S4,Sn2SiS4,2.0
Sn2Si1S4,Sn2SiS4,2.0
Sn2Si1S4,Sn2SiS4,2.0
Si1S4,SiS4,2.0
Sn2Si1S4,Sn2SiS4,2.0
Sn2Si1S4,Sn2SiS4,2.0
Li2Ga2Ge1S6,Li2Ga2GeS6,3.65
Li2Ga2Ge1S6,Li2Ga2GeS6,3.72
Cu2Cd1Ge1S4,Cu2CdGeS4,1.95
Cu2Cd1Ge1S4,Cu2CdGeS4,2.05
Cu2Cd1Ge1S4,Cu2CdGeS4,2.07
Cu2Cd1Ge1S4,Cu2CdGeS4,2.07
Zn1S1,ZnS,3.54
Zn1S1,ZnS,3.85
Cu1In1S2,CuInS2,1.5
Zn1S1,ZnS,3.54
Cd1S1,CdS,2.42
Cd1S1,CdS,2.42
Zn1Se1,ZnSe,2.65
Zn1Se1,ZnSe,2.21
Ag1Ga1S2,AgGaS2,2.7
Ga1Se1,GaSe,2.0
Ga1S1,GaS,2.89
Ga1S1Se1,GaSSe,1.99
Ga1S1,GaS,2.59
Cu1In1Se2,CuInSe2,1.03
Cu1In1Se2,CuInSe2,1.1
S1N1,SN,1.5
Cd1S1,CdS,2.24
Zn1Se2Cd1,ZnSe2Cd,1.74
Se1,Se,1.31
Se1,Se,1.42
Ga1Se1,GaSe,1.034
Zn1Se1,ZnSe,2.7
Zn1S1,ZnS,3.6
Zn1S1,ZnS,3.6
Mo1S2,MoS2,0.08
Pb1S1,PbS,0.41
Pb1Se1,PbSe,0.29
Cu1Al1S2,CuAlS2,3.45
As40S60,As40S60,2.39
Ni1Se1,NiSe,2.0
Cu2Zn1Sn1S4,Cu2ZnSnS4,1.5499999999999998
Zn1S1,ZnS,3.7
Zn1S1,ZnS,3.6
Zn1S0.3Se0.7,ZnS0.3Se0.7,3.35
Zn1S0.7Se0.3,ZnS0.7Se0.3,3.51
Pb1S2,PbS2,1.141
Pb1S1,PbS,0.41
Pb1S1,PbS,1.092
Li1Ga1Se2,LiGaSe2,3.47
Li1Ga1Se2,LiGaSe2,3.34
Li1Ga1Se2,LiGaSe2,3.13
Li1Ga1Se2,LiGaSe2,3.66
Li1Ga1Se2,LiGaSe2,3.47
Ga1Se1,GaSe,1.034
Ag2S1,Ag2S,2.42
As50Se50,As50Se50,1.72
Cu2Zn1Sn1Se4,Cu2ZnSnSe4,1.0
Ga1Ge25As15Se1,GaGe25As15Se,1.555
Ga1Ge25As15Se1,GaGe25As15Se,1.68
Zn1S1,ZnS,3.7
Ca1S1,CaS,4.9
Zn1S1,ZnS,3.7
Zn1S1,ZnS,3.75
Zn1S1,ZnS,3.75
Cu2Zn1Fe1Sn1S4,Cu2ZnFeSnS4,1.71
Cu2Cd1Zn1Sn1S4,Cu2CdZnSnS4,1.475
Cu2Cd1Zn1Sn1S4,Cu2CdZnSnS4,1.32
Cd1Zn1Se1,CdZnSe,2.58
Cd1Se1,CdSe,2.27
Se1Te1,SeTe,1.25
Se1Te1,SeTe,1.4649999999999999
Cu1In0.7Ga0.3Se2,CuIn0.7Ga0.3Se2,1.25
Cu1In0.7Ga0.3Se2,CuIn0.7Ga0.3Se2,0.96
Ag1In1Se2,AgInSe2,1.5499999999999998
Pb1S2,PbS2,0.41
Mo1S2,MoS2,1.8
Zn1S1,ZnS,3.7
Zn1S1,ZnS,3.9
Pb1S1,PbS,0.4
Pb1S1,PbS,0.4
Pb1S1,PbS,0.4
Cu3Sn1S4,Cu3SnS4,1.6
Pb1S1,PbS,0.4
Mo1S2,MoS2,1.2
Hg1Ga2Se4,HgGa2Se4,1.93
Hg1Ga2Se4,HgGa2Se4,1.24
Hg1Ga2Se4,HgGa2Se4,2.09
Pb1S2,PbS2,0.42
Sn1S2,SnS2,2.4
Hg1Ga2Se4,HgGa2Se4,2.4000000000000004
Zn0.45Cd0.55S1,Zn0.45Cd0.55S,3.7
Cd1S1,CdS,2.42
Cd1S1,CdS,2.11
S4Se4Cu2Zn1Sn1,S4Se4Cu2ZnSn,1.5
S1,S,1.25
Se1,Se,1.0
La2S3,La2S3,2.51515
Cd1Se1,CdSe,1.73
Mo1S2,MoS2,1.7
Cu1Ga1Se2,CuGaSe2,1.37
Ag1B1Se2,AgBSe2,3.34
Li1Ga0.5In0.5Se2,LiGa0.5In0.5Se2,2.94
Zn1Se1,ZnSe,0.021
Cd1S1,CdS,2.42
Ga1Se1,GaSe,2.0
Ga1Se1,GaSe,1.034
Mo1S2,MoS2,1.8
Cd1S1,CdS,2.4
Zn1S1,ZnS,3.9
Cd1S1,CdS,3.9
Cu1S1,CuS,1.2
Tl1In1S2,TlInS2,2.58
Cd1S1,CdS,2.4
Cd1S1,CdS,2.23
Zn1Se1,ZnSe,3.1
Ag1In1Se2,AgInSe2,1.2
Cd1S1,CdS,2.49
Cd1S1,CdS,2.4
Mo1S2,MoS2,1.2
Cd1S1,CdS,2.28
Mo1S2,MoS2,3.9
Mo1S2,MoS2,3.9
Mo1S2,MoS2,3.9
Ga2S3,Ga2S3,2.48
Ga2S3,Ga2S3,3.44
Ga2S3,Ga2S3,2.48
Ga2S3,Ga2S3,2.48
Ga2S3,Ga2S3,2.48
Zn1S1,ZnS,3.6
Cd1S1,CdS,2.42
Cd1Se1,CdSe,1.25
Mo1S6,MoS6,1.2
Mo1S2,MoS2,1.2
W1Se2,WSe2,2.35
W1Se2,WSe2,2.22
Sn1S1,SnS,1.425
Sn1S1,SnS,1.25
Sn1S1,SnS,1.35
Sn1S1,SnS,1.425
Mo1S2,MoS2,1.88
Bi2S3,Bi2S3,1.3
Ge1Se2,GeSe2,1.72
Ge1Se2,GeSe2,1.64
Bi2S3,Bi2S3,1.3
Zn1S1,ZnS,4.15
Zn1S1,ZnS,3.54
Cd1S1,CdS,2.42
Tl2Hg1Sn1S4,Tl2HgSnS4,1.82
Ga2S3,Ga2S3,2.96
As35S65,As35S65,2.145
As4S3,As4S3,2.145
As35S65,As35S65,2.145
As4S3,As4S3,2.145
Cu2Hg1Sn1S4,Cu2HgSnS4,1.3
Cu2Hg1Sn1S4,Cu2HgSnS4,1.33
Cd1Se1,CdSe,2.7
Cd1Se1,CdSe,1.74
Ni1S2,NiS2,2.2
Mo1S2,MoS2,1.2
Pb2S3,Pb2S3,0.41
Pb1S1,PbS,1.5
Pb1S1,PbS,0.41
Pb1Se2,PbSe2,0.27
Pb1Se1,PbSe,0.74
Pb1Se1,PbSe,0.6699999999999999
Pb1Se1,PbSe,0.98
Ba1Ga4Se7,BaGa4Se7,2.73
Cd1S1,CdS,2.42
Tl3Ta1S4,Tl3TaS4,2.842
Tl3Ta1S4,Tl3TaS4,2.842
Tl3Ta1S4,Tl3TaS4,2.842
Tl3Ta1S4,Tl3TaS4,2.842
Se90Pb10,Se90Pb10,2.1
Se90Pb8Sn2,Se90Pb8Sn2,2.2
Ge1Se2,GeSe2,2.33
Ge1Se2,GeSe2,2.03
Cu2Zn1Sn1S4,Cu2ZnSnS4,1.25
Ti1Se2,TiSe2,0.15
Hf1S2,HfS2,1.2
Cd1S1,CdS,2.4
Cu2Sn1S3,Cu2SnS3,1.4500000000000002
Zn1S1,ZnS,3.32
Cd1S1,CdS,2.48
Se1,Se,1.555
Cd1S1,CdS,2.3
Zn1Se1,ZnSe,2.7
Pb1Se1,PbSe,1.6
Sn1Na2S1,SnNa2S,2.0
Zn1Se1,ZnSe,2.64
Zn1Se1,ZnSe,2.7
Zn1Se1,ZnSe,2.7
Zn1Se1,ZnSe,3.68
Zn1Se1,ZnSe,2.64
Cd1S1,CdS,2.43
Cd1S1,CdS,2.43
Cd1S1,CdS,2.44
Cd1S1,CdS,2.44
Tl1Ga1Se2,TlGaSe2,2.11
Fe1S2,FeS2,0.95
In2S3,In2S3,1.95
Mn1S2,MnS2,0.8
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cd1S1,CdS,2.45
Cd1Se1,CdSe,1.705
Cd1Se1,CdSe,1.7
Hf1S2,HfS2,1.9
Cd1Se1Te1,CdSeTe,1.5
Zn1Se1,ZnSe,2.787
