epoch,train loss,val loss,swa
0.0,0.45584065156063097,0.45533938775706223,n
19.0,0.2123678537444378,0.2867244662660541,y
39.0,0.1254490491697779,0.2802433701586132,y
59.0,0.08424437287448552,0.2808147603158452,y
79.0,0.05989902926539101,0.27703646621756645,y
99.0,0.04707145703758263,0.2765049067410556,y
119.0,0.04040106829257424,0.2792387823099604,y
139.0,0.03532561571214898,0.2774598838212405,y
159.0,0.031025510083904865,0.28321467844907905,y
179.0,0.028717159043607502,0.27607804848799694,y
199.0,0.028413581468071828,0.2800000712234455,y
219.0,0.0260688751897438,0.28027631001695785,y
