epoch,train loss,val loss,swa
0.0,0.4633116383621563,0.4649417075243863,n
19.0,0.3014722883413776,0.3286927567369025,y
39.0,0.21546959996141293,0.301532232728543,y
59.0,0.1543770351137152,0.29063333919882445,y
79.0,0.10607734879159171,0.28257268979201305,y
99.0,0.07735999254092604,0.27289806614237383,y
119.0,0.06172585281974114,0.27640763491638437,y
139.0,0.05138705628728308,0.27554432156985786,y
159.0,0.04255671948091808,0.27106133210100747,y
179.0,0.03831943871644675,0.2723987798717068,y
199.0,0.0333476205844866,0.27883275546975045,y
219.0,0.031841316012001956,0.27731052574704174,y
239.0,0.029102754831149772,0.27728660507307235,y
